JAHR;MONAT;ZAEHLSTELLE;FAHRZEUGKLASSE;ANZAHL
2023;12;611;Kfz <= 3,5t hzG;29354.0
2023;12;174;Kfz;35012.0
2023;12;174;Kfz > 3,5t hzG;8206.0
2023;12;174;Kfz <= 3,5t hzG;26806.0
2023;12;180;Kfz;36321.0
2023;12;180;Kfz > 3,5t hzG;8297.0
2023;12;180;Kfz <= 3,5t hzG;28024.0
2023;12;186;Kfz;27383.0
2023;12;186;Kfz > 3,5t hzG;7453.0
2023;12;186;Kfz <= 3,5t hzG;19930.0
2023;12;194;Kfz;25472.0
2023;12;194;Kfz > 3,5t hzG;7490.0
2023;12;194;Kfz <= 3,5t hzG;17982.0
2023;12;201;Kfz;27061.0
2023;12;201;Kfz > 3,5t hzG;3635.0
2023;12;201;Kfz <= 3,5t hzG;23426.0
2023;12;207;Kfz;23807.0
2023;12;207;Kfz > 3,5t hzG;3507.0
2023;12;207;Kfz <= 3,5t hzG;20300.0
2023;12;213;Kfz;21301.0
2023;12;213;Kfz > 3,5t hzG;3333.0
2023;12;213;Kfz <= 3,5t hzG;17968.0
2023;12;217;Kfz;19221.0
2023;12;217;Kfz > 3,5t hzG;3325.0
2023;12;217;Kfz <= 3,5t hzG;15896.0
2023;12;223;Kfz;18332.0
2023;12;223;Kfz > 3,5t hzG;3386.0
2023;12;223;Kfz <= 3,5t hzG;14946.0
2023;12;6097;Kfz;16973.0
2023;12;6097;Kfz > 3,5t hzG;3397.0
2023;12;6097;Kfz <= 3,5t hzG;13576.0
2023;12;402;Kfz;27534.0
2023;12;402;Kfz > 3,5t hzG;3767.0
2023;12;402;Kfz <= 3,5t hzG;23767.0
2023;12;414;Kfz;21798.0
2023;12;414;Kfz > 3,5t hzG;3729.0
2023;12;414;Kfz <= 3,5t hzG;18069.0
2023;12;420;Kfz;22948.0
2023;12;420;Kfz > 3,5t hzG;3752.0
2023;12;420;Kfz <= 3,5t hzG;19196.0
2023;12;426;Kfz;23454.0
2023;12;426;Kfz > 3,5t hzG;3785.0
2023;12;426;Kfz <= 3,5t hzG;19669.0
2023;12;432;Kfz;26918.0
2023;12;432;Kfz > 3,5t hzG;3981.0
2023;12;432;Kfz <= 3,5t hzG;22937.0
2023;12;6086;Kfz;24917.0
2023;12;6086;Kfz > 3,5t hzG;3289.0
